"year","union","ethnicity","married","health","industry","occupation","residence","lwage","lschool","lexper"
2011,"no","other","no","no","Business_and_Repair_Service","Service_Workers","north_east",10.6547406562406,2.63905732961526,0.693147180559945
2012,"yes","other","no","no","Other","Service_Workers","north_east",11.3102604154387,2.63905732961526,1.09861228866811
2013,"no","other","no","no","Business_and_Repair_Service","Service_Workers","north_east",10.8016621741444,2.63905732961526,1.38629436111989
2014,"no","other","no","no","Business_and_Repair_Service","Service_Workers","north_east",10.8904138060085,2.63905732961526,1.6094379124341
2015,"no","other","no","no","Other","Craftsmen, Foremen_and_kindred","north_east",11.0253255247215,2.63905732961526,1.79175946922805
2016,"no","other","no","no","Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east",11.1570914530633,2.63905732961526,1.94591014905531
2017,"no","other","no","no","Business_and_Repair_Service","Managers, Officials_and_Proprietors","north_east",10.0519075576544,2.63905732961526,2.07944154167984
2011,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",11.1331628983269,2.56494935746154,1.6094379124341
2012,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",10.9755985981941,2.56494935746154,1.79175946922805
2013,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",11.0163909024576,2.56494935746154,1.94591014905531
2014,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",11.182610592813,2.56494935746154,2.07944154167984
2015,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",11.0792227519548,2.56494935746154,2.19722457733622
2016,"no","other","no","no","Construction","Laborers_and_farmers","north_east",11.0657887828013,2.56494935746154,2.30258509299405
2017,"no","other","no","no","Construction","Laborers_and_farmers","north_east",11.0295857845834,2.56494935746154,2.39789527279837
2018,"no","other","no","no","Construction","Craftsmen, Foremen_and_kindred","north_east",11.2775343424155,2.56494935746154,2.484906649788
2011,"yes","other","no","no","Other","Laborers_and_farmers","north_east",11.3513154164326,2.484906649788,1.09861228866811
2012,"yes","other","no","no","Other","Operatives_and_kindred","north_east",10.9283596475656,2.484906649788,1.38629436111989
2013,"no","other","no","no","Manufacturing","Operatives_and_kindred","north_east",10.9306979990474,2.484906649788,1.6094379124341
2014,"no","other","no","no","Manufacturing","Operatives_and_kindred","north_east",11.1981147151302,2.484906649788,1.79175946922805
2015,"no","other","no","no","Business_and_Repair_Service","Operatives_and_kindred","north_east",11.2804141730642,2.484906649788,1.94591014905531
2016,"no","other","no","no","Manufacturing","Operatives_and_kindred","north_east",11.3654732833597,2.484906649788,2.07944154167984
2017,"no","other","no","no","Other","Clerical_and_kindred","north_east",11.1996478023665,2.484906649788,2.19722457733622
2018,"no","other","yes","no","Construction","Clerical_and_kindred","north_east",11.5928894003105,2.484906649788,2.30258509299405
2011,"yes","other","no","no","Professional_and_Related Service","Clerical_and_kindred","north_east",11.4059753532404,2.484906649788,1.79175946922805
2012,"no","other","no","no","Professional_and_Related Service","Clerical_and_kindred","north_east",11.4194597031808,2.484906649788,1.94591014905531
2013,"no","other","no","no","Professional_and_Related Service","Managers, Officials_and_Proprietors","north_east",11.4204972981739,2.484906649788,2.07944154167984
2014,"no","other","no","no","Professional_and_Related Service","Managers, Officials_and_Proprietors","north_east",11.6597160398395,2.484906649788,2.19722457733622
2015,"no","other","yes","no","Trade","Professional, Technical_and_kindred","north_east",11.5921546726116,2.484906649788,2.30258509299405
2016,"no","other","yes","no","Business_and_Repair_Service","Professional, Technical_and_kindred","north_east",11.5830232857758,2.484906649788,2.39789527279837
2017,"no","other","yes","no","Other","Clerical_and_kindred","north_east",11.4482171160794,2.484906649788,2.484906649788
2018,"no","other","yes","no","Other","Clerical_and_kindred","north_east",11.5695938476534,2.484906649788,2.56494935746154
2011,"no","other","no","no","Trade","Service_Workers","north_east",10.0519075576544,2.30258509299405,1.09861228866811
2012,"no","other","no","no","Trade","Service_Workers","north_east",10.7771721993465,2.30258509299405,1.38629436111989
2014,"no","other","no","no","Trade","Service_Workers","north_east",10.7774872947782,2.30258509299405,1.79175946922805
2015,"no","other","no","no","Other","Service_Workers","north_east",11.1608469412885,2.30258509299405,1.94591014905531
2016,"no","other","no","no","Trade","Service_Workers","north_east",10.9030037371576,2.30258509299405,2.07944154167984
2017,"no","other","no","no","Other","Clerical_and_kindred","north_east",11.2635645986725,2.30258509299405,2.19722457733622
2018,"no","other","no","no","Business_and_Repair_Service","Clerical_and_kindred","north_east",11.6053205819225,2.30258509299405,2.30258509299405
2012,"no","other","no","no","Trade","Managers, Officials_and_Proprietors","north_east",11.4468012606346,2.56494935746154,1.38629436111989
2014,"no","other","no","no","Trade","Sales_Workers","north_east",11.312663619251,2.56494935746154,1.79175946922805
2015,"no","other","no","no","Trade","Sales_Workers","north_east",11.3796382710982,2.56494935746154,1.94591014905531
2016,"no","other","yes","no","Trade","Sales_Workers","north_east",11.5182244007791,2.56494935746154,2.07944154167984
2017,"no","other","yes","no","Trade","Sales_Workers","north_east",11.2394020177825,2.56494935746154,2.19722457733622
