Name,Position,Team,ProjectedPoints,Price
Aaron Rodgers,QB,GBP,333.5,51.2
Tom Brady,QB,NEP,312.1,38.3
Drew Brees,QB,NOS,306.2,36.3
Matt Ryan,QB,ATL,294.3,29.2
Russell Wilson,QB,SEA,287.9,25.8
Jameis Winston,QB,TBB,276.6,18.6
Cam Newton,QB,CAR,278.8,16.6
Kirk Cousins,QB,WAS,272.7,15.1
Andrew Luck,QB,IND,274.4,15.0
Marcus Mariota,QB,TEN,268.2,10.8
Dak Prescott,QB,DAL,266.7,10.0
Matthew Stafford,QB,DET,262.8,9.8
Philip Rivers,QB,LAC,258.1,9.4
Andy Dalton,QB,CIN,257.7,6.9
Derek Carr,QB,OAK,257.0,6.1
Ben Roethlisberger,QB,PIT,255.6,5.2
Tyrod Taylor,QB,BUF,255.8,5.1
Carson Palmer,QB,ARI,245.2,3.0
Eli Manning,QB,NYG,243.3,2.8
Carson Wentz,QB,PHI,238.7,2.2
Joe Flacco,QB,BAL,229.1,1.2
Alex Smith,QB,KCC,223.4,1.0
Sam Bradford,QB,MIN,216.9,1.0
Jay Cutler,QB,MIA,210.8,1.0
Blake Bortles,QB,JAC,200.6,1.0
Brian Hoyer,QB,SFO,190.7,1.0
Jared Goff,QB,LAR,178.0,1.0
Mike Glennon,QB,CHI,176.8,1.0
Trevor Siemian,QB,DEN,174.4,1.0
DeShone Kizer,QB,CLE,168.4,1.0
Josh McCown,QB,NYJ,145.7,1.0
Tom Savage,QB,HOU,115.6,1.0
Deshaun Watson,QB,HOU,102.5,1.0
Chad Henne,QB,JAC,51.1,1.0
Paxton Lynch,QB,DEN,48.2,1.0
Cody Kessler,QB,CLE,42.7,1.0
Mitchell Trubisky,QB,CHI,42.4,1.0
Christian Hackenberg,QB,NYJ,36.3,1.0
Matt Moore,QB,MIA,27.4,1.0
Bryce Petty,QB,NYJ,25.3,1.0
Matt Barkley,QB,SFO,20.5,1.0
Scott Tolzien,QB,IND,19.4,1.0
Teddy Bridgewater,QB,MIN,18.8,1.0
Brock Osweiler,QB,CLE,17.8,1.0
Patrick Mahomes,QB,KCC,14.4,1.0
Brandon Allen,QB,JAC,14.0,1.0
Sean Mannion,QB,LAR,12.9,1.0
Landry Jones,QB,PIT,11.6,1.0
Case Keenum,QB,MIN,11.1,1.0
Ryan Fitzpatrick,QB,TBB,10.9,1.0
Matt Cassel,QB,TEN,9.5,1.0
Drew Stanton,QB,ARI,9.4,1.0
C.J. Beathard,QB,SFO,9.3,1.0
Nathan Peterman,QB,BUF,8.9,1.0
Nick Foles,QB,PHI,8.5,1.0
A.J. McCarron,QB,CIN,8.3,1.0
Brandon Weeden,QB,HOU,6.9,1.0
Geno Smith,QB,NYG,6.8,1.0
Derek Anderson,QB,CAR,6.8,1.0
Trevone Boykin,QB,SEA,6.3,1.0
Jimmy Garoppolo,QB,NEP,5.3,1.0
Kellen Moore,QB,DAL,5.3,1.0
Brett Hundley,QB,GBP,5.2,1.0
Colt McCoy,QB,WAS,5.0,1.0
Kevin Hogan,QB,CLE,4.5,1.0
T.J. Yates,QB,BUF,4.3,1.0
Kellen Clemens,QB,LAC,4.0,1.0
Matt Schaub,QB,ATL,3.8,1.0
Connor Cook,QB,OAK,3.3,1.0
Cardale Jones,QB,LAC,2.9,1.0
Ryan Mallett,QB,BAL,2.8,1.0
Chase Daniel,QB,NOS,2.6,1.0
Brad Kaaya,QB,DET,2.3,1.0
Blaine Gabbert,QB,ARI,2.1,1.0
Jake Rudock,QB,DET,1.9,1.0
E.J. Manuel,QB,OAK,1.8,1.0
Robert Griffin III,QB,CLE,1.2,1.0
Stephen Morris,QB,IND,0.1,1.0
Matt McGloin,QB,PHI,0.1,1.0
Mark Sanchez,QB,CHI,0.1,1.0
San Francisco 49ers QB,QB,SFO,0.1,1.0
Cooper Rush,QB,DAL,0.1,1.0
Dan Orlovsky,QB,LAR,0.0,1.0
Zach Mettenberger,QB,PIT,0.0,1.0
David Fales,QB,MIA,0.0,1.0
Shaun Hill,QB,MIN,0.0,1.0
