Town_county,pd_dept_plus_county,slug_pd,pd_dept,county,coverage_city,footnotes,footnotes_about_race,total_rows_2012,total_rows_2013,total_rows_2014,total_rows_2015,total_rows_2016,total_rows_2012_2016,total_incidents_2012,total_incidents_2013,total_incidents_2014,total_incidents_2015,total_incidents_2016,total_incidents_2012_2016,total_arrests_2012,total_arrests_2013,total_arrests_2014,total_arrests_2015,total_arrests_2016,total_arrests_2012_2016,rate_incidents_per_arrests_2012_2016,rank_rate_incidents_per_arrests_2012_2016,white_pct_subjects,black_pct_subjects,hispanic_pct_subjects,asian_pacific_islander_pct_subjects,white_arrests_pct_2012_2016,black_arrests_pct_2012_2016,api_arrests_pct_2012_2016,white_pct_officers,black_pct_officers,hispanic_pct_officers,asian_pacific_islander_pct_officers,pctwhite_adjpop,pctblack_adjpop,pcthisp_adjpop,pctasian_adjpop,odds_ratio_pop,odds_ratio_arrests,officers_involved_in_incidents,incidents_per_officer,total_complaince_hold,total_hands_fists,total_pepper_spray,total_baton,total_leg_strikes,total_deadly_force,total_take_down,pct_complaince_hold,pct_hands_fists,pct_pepper_spray,pct_baton,pct_leg_strikes,pct_take_down,pct_deadly_force,total_resisted_police,total_physical_attack,total_knife_attack,total_blunt_attack,total_gun_threat,total_gun_fire,total_attack_car,pct_resisted_police,pct_physical_attack,pct_knife_attack,pct_blunt_attack,pct_gun_threat,pct_gun_fire,pct_car_attack,pct_officers_injured,pct_subjects_injured,avg_police_employees_2012_2016,nyc_ofc_count,la_ofc_count,chi_ofc_count
"Aberdeen, Monmouth County","Aberdeen, Monmouth",aberdeen-monmouth,Aberdeen,Monmouth,Aberdeen,,,35,22,40,26,28,151,19,13,23,15,12,82,617,575,584,626,544,2946,27.83435166,217,65,34,0,0,72.16564834,26.57841141,1.255940258,94.70198676,0.662251656,0,3.973509934,69.4360087,12.0751988,9.8626175,6.4352856,3.941216444,1.420257393,34,4.441176471,145,38,12,1,2,0,2,96.02649007,25.16556291,7.947019868,0.662251656,1.324503311,1.324503311,0,139,47,0,2,0,0,0,92.05298013,31.12582781,0,1.324503311,0,0,0,12.58278146,11,34,15,4,16
"Absecon, Atlantic County","Absecon, Atlantic",absecon-atlantic,Absecon,Atlantic,Absecon,,,7,8,15,17,11,58,4,7,8,10,8,37,355,384,291,228,249,1507,24.55209025,252,53.84615385,38.46153846,0,2.564102564,69.07763769,29.32979429,1.194426012,74.13793103,0,0,1.724137931,71.0157467,8.3232393,11.5590933,5.987195,6.825779626,1.6822883,22,2.636363636,47,19,8,0,2,1,0,81.03448276,32.75862069,13.79310345,0,3.448275862,0,1.724137931,43,20,0,0,1,0,0,74.13793103,34.48275862,0,0,1.724137931,0,0,3.448275862,15.78947368,25,9,0,13
"Allendale, Bergen County","Allendale, Bergen",allendale-bergen,Allendale,Bergen,Allendale,,,2,0,0,2,6,10,2,0,0,1,5,8,82,84,103,105,85,459,17.4291939,331,88.88888889,11.11111111,0,0,83.66013072,11.32897603,3.050108932,70,0,0,0,83.493557,1.4113316,2.4953978,12.5997136,,0.923076923,6,1.666666667,9,6,1,0,0,0,0,90,60,10,0,0,0,0,10,5,2,0,0,0,0,100,50,20,0,0,0,0,30,11.11111111,14,2,0,3
"Allenhurst, Monmouth County","Allenhurst, Monmouth",allenhurst-monmouth,Allenhurst,Monmouth,Allenhurst,,,2,2,1,3,1,9,1,2,1,2,1,7,141,152,135,116,119,663,10.55806938,408,71.42857143,28.57142857,0,0,69.53242836,30.16591252,0,22.22222222,0,0,0,92.4198251,0,3.7900875,3.7900875,,0.922,5,1.8,9,6,0,1,0,0,0,100,66.66666667,0,11.11111111,0,0,0,9,8,0,0,0,0,0,100,88.88888889,0,0,0,0,0,22.22222222,28.57142857,9,4,0,4
"Allentown, Monmouth County","Allentown, Monmouth",allentown-monmouth,Allentown,Monmouth,Allentown,,,0,2,3,2,0,7,0,2,2,2,0,6,20,32,64,37,49,202,29.7029703,198,85.71428571,14.28571429,0,0,79.20792079,19.30693069,0.495049505,0,0,0,0,90.9026798,2.7503526,2.3977433,0.9167842,,0.683760684,4,1.75,4,0,1,0,0,0,0,57.14285714,0,14.28571429,0,0,0,0,4,3,0,0,0,0,0,57.14285714,42.85714286,0,0,0,0,0,14.28571429,0,5,1,0,1
"Alpine, Bergen County","Alpine, Bergen",alpine-bergen,Alpine,Bergen,Alpine,,"This police department's racial breakdown is missing for more than 15 percent of the forms, which may skew the results due to the smaller sample size.",0,1,0,0,2,3,0,1,0,0,2,3,26,15,9,9,8,67,44.7761194,88,66.66666667,0,0,0,79.10447761,2.985074627,16.41791045,66.66666667,33.33333333,0,0,45.1481103,11.13381,8.886619,32.6864147,,0,3,1,3,0,0,0,0,0,0,100,0,0,0,0,0,0,2,1,0,0,0,0,0,66.66666667,33.33333333,0,0,0,0,0,66.66666667,0,12,2,0,2
"Andover Township, Sussex County","Andover Township, Sussex",andover-township-sussex,Andover Township,Sussex,Andover Township,,,5,5,4,0,1,15,5,2,3,0,1,11,114,111,115,158,136,634,17.35015773,332,71.42857143,21.42857143,7.142857143,0,76.81388013,22.55520505,0.630914826,100,0,0,0,88.9174655,4.5826514,4.465747,2.1042787,,1.021678322,6,2.5,14,8,4,0,0,0,0,93.33333333,53.33333333,26.66666667,0,0,0,0,15,12,0,0,0,0,0,100,80,0,0,0,0,0,20,15.38461538,12,5,0,5
"Asbury Park, Monmouth County","Asbury Park, Monmouth",asbury-park-monmouth,Asbury Park,Monmouth,Asbury Park,,,121,97,169,169,169,725,99,73,100,105,107,484,1811,2058,2497,2530,2522,11418,42.38921002,103,23.34004024,69.81891348,5.432595573,0,31.58171308,68.20809249,0.201436329,55.17241379,33.51724138,3.172413793,7.586206897,26.6536137,48.5996425,27.5985358,0.5788712,1.956569286,1.38506854,114,6.359649123,635,198,42,2,22,1,27,87.5862069,27.31034483,5.793103448,0.275862069,3.034482759,3.724137931,0.137931034,683,235,2,7,1,1,3,94.20689655,32.4137931,0.275862069,0.965517241,0.137931034,0.137931034,0.413793103,12.68965517,29.218107,86,84,24,85
"Atlantic City, Atlantic County","Atlantic City, Atlantic",atlantic-city-atlantic,Atlantic City,Atlantic,Atlantic City,"This police department's use-of-force forms had spots for multiple officers on each form, as opposed to the vast majority of other departments, which require all officers involved to fill out separate forms. To make an accurate one-to-one comparison statewide, we broke up each form to create a separate log of each officer's uses of force. All duplicates were removed.",,791,825,529,392,316,2854,459,465,286,238,208,1657,4234,3425,2881,2561,1872,14973,110.6658652,2,36.02088167,49.01392111,10.55684455,1.160092807,42.44306418,55.88058505,1.295665531,67.90469516,15.55711282,6.271899089,4.97547302,16.2624872,38.2046666,27.8442585,17.667408,0.650969506,1.033500985,332,8.596385542,2345,1172,50,98,358,14,177,82.16538192,41.06517169,1.75192712,3.433777155,12.54379818,6.201822004,0.490539594,2541,1291,18,34,18,7,10,89.03293623,45.23475823,0.630693763,1.191310441,0.630693763,0.245269797,0.350385424,3.889278206,18.40527578,320,216,90,220
"Atlantic Highlands, Monmouth County","Atlantic Highlands, Monmouth",atlantic-highlands-monmouth,Atlantic Highlands,Monmouth,Atlantic Highlands,,,4,9,8,8,7,36,3,5,5,5,2,20,199,124,114,137,124,698,28.65329513,212,86.36363636,13.63636364,0,0,90.54441261,8.452722063,0.716332378,86.11111111,0,0,0,87.1478316,3.2288699,5.5397278,2.2792023,4.353257432,1.691347012,14,2.571428571,36,6,2,0,1,0,7,100,16.66666667,5.555555556,0,2.777777778,19.44444444,0,35,12,0,2,0,0,0,97.22222222,33.33333333,0,5.555555556,0,0,0,8.333333333,9.090909091,14,3,0,4
