country,continent,year,lifeExp,pop
Afghanistan,Asia,1952,28.801,8425333
Afghanistan,Asia,1957,30.332,9240934
Afghanistan,Asia,1962,31.997,10267083
Afghanistan,Asia,1967,34.02,11537966
Afghanistan,Asia,1972,36.088,13079460
Afghanistan,Asia,1977,38.438,14880372
Afghanistan,Asia,1982,39.854,12881816
Afghanistan,Asia,1987,40.822,13867957
Afghanistan,Asia,1992,41.674,16317921
Afghanistan,Asia,1997,41.763,22227415
Afghanistan,Asia,2002,42.129,25268405
Afghanistan,Asia,2007,43.828,31889923
Albania,Europe,1952,55.23,1282697
Albania,Europe,1957,59.28,1476505
Albania,Europe,1962,64.82,1728137
Albania,Europe,1967,66.22,1984060
Albania,Europe,1972,67.69,2263554
Albania,Europe,1977,68.93,2509048
Albania,Europe,1982,70.42,2780097
Albania,Europe,1987,72,3075321
Albania,Europe,1992,71.581,3326498
Albania,Europe,1997,72.95,3428038
Albania,Europe,2002,75.651,3508512
Albania,Europe,2007,76.423,3600523
Austria,Europe,1952,66.8,6927772
Austria,Europe,1957,67.48,6965860
Austria,Europe,1962,69.54,7129864
Austria,Europe,1967,70.14,7376998
Austria,Europe,1972,70.63,7544201
Austria,Europe,1977,72.17,7568430
Austria,Europe,1982,73.18,7574613
Austria,Europe,1987,74.94,7578903
Austria,Europe,1992,76.04,7914969
Austria,Europe,1997,77.51,8069876
Austria,Europe,2002,78.98,8148312
Austria,Europe,2007,79.829,8199783
Bahrain,Asia,1952,50.939,120447
Bahrain,Asia,1957,53.832,138655
Bahrain,Asia,1962,56.923,171863
Bahrain,Asia,1967,59.923,202182
Bahrain,Asia,1972,63.3,230800
Bahrain,Asia,1977,65.593,297410
Bahrain,Asia,1982,69.052,377967
Bahrain,Asia,1987,70.75,454612
Bahrain,Asia,1992,72.601,529491
Bahrain,Asia,1997,73.925,598561
Bahrain,Asia,2002,74.795,656397
Bahrain,Asia,2007,75.635,708573
Bangladesh,Asia,1952,37.484,46886859
Bangladesh,Asia,1957,39.348,51365468
Bangladesh,Asia,1962,41.216,56839289
Bangladesh,Asia,1967,43.453,62821884
Bangladesh,Asia,1972,45.252,70759295
Bangladesh,Asia,1977,46.923,80428306
Bangladesh,Asia,1982,50.009,93074406
Bangladesh,Asia,1987,52.819,103764241
Bangladesh,Asia,1992,56.018,113704579
Bangladesh,Asia,1997,59.412,123315288
Bangladesh,Asia,2002,62.013,135656790
Bangladesh,Asia,2007,64.062,150448339
Belgium,Europe,1952,68,8730405
Belgium,Europe,1957,69.24,8989111
Belgium,Europe,1962,70.25,9218400
Belgium,Europe,1967,70.94,9556500
Belgium,Europe,1972,71.44,9709100
Belgium,Europe,1977,72.8,9821800
Belgium,Europe,1982,73.93,9856303
Belgium,Europe,1987,75.35,9870200
Belgium,Europe,1992,76.46,10045622
Belgium,Europe,1997,77.53,10199787
Belgium,Europe,2002,78.32,10311970
Belgium,Europe,2007,79.441,10392226
Bosnia and Herzegovina,Europe,1952,53.82,2791000
Bosnia and Herzegovina,Europe,1957,58.45,3076000
Bosnia and Herzegovina,Europe,1962,61.93,3349000
Bosnia and Herzegovina,Europe,1967,64.79,3585000
Bosnia and Herzegovina,Europe,1972,67.45,3819000
Bosnia and Herzegovina,Europe,1977,69.86,4086000
Bosnia and Herzegovina,Europe,1982,70.69,4172693
Bosnia and Herzegovina,Europe,1987,71.14,4338977
Bosnia and Herzegovina,Europe,1992,72.178,4256013
