"country","continent","year","lifeExp","pop"
"Algeria","Africa",1952,43.077,9279525
"Algeria","Africa",1957,45.685,10270856
"Algeria","Africa",1962,48.303,11000948
"Algeria","Africa",1967,51.407,12760499
"Algeria","Africa",1972,54.518,14760787
"Algeria","Africa",1977,58.014,17152804
"Algeria","Africa",1982,61.368,20033753
"Algeria","Africa",1987,65.799,23254956
"Algeria","Africa",1992,67.744,26298373
"Algeria","Africa",1997,69.152,29072015
"Algeria","Africa",2002,70.994,31287142
"Algeria","Africa",2007,72.301,33333216
"Angola","Africa",1952,30.015,4232095
"Angola","Africa",1957,31.999,4561361
"Angola","Africa",1962,34,4826015
"Angola","Africa",1967,35.985,5247469
"Angola","Africa",1972,37.928,5894858
"Angola","Africa",1977,39.483,6162675
"Angola","Africa",1982,39.942,7016384
"Angola","Africa",1987,39.906,7874230
"Angola","Africa",1992,40.647,8735988
"Angola","Africa",1997,40.963,9875024
"Angola","Africa",2002,41.003,10866106
"Angola","Africa",2007,42.731,12420476
"Argentina","Americas",1952,62.485,17876956
"Argentina","Americas",1957,64.399,19610538
"Argentina","Americas",1962,65.142,21283783
"Argentina","Americas",1967,65.634,22934225
"Argentina","Americas",1972,67.065,24779799
"Argentina","Americas",1977,68.481,26983828
"Argentina","Americas",1987,70.774,31620918
"Argentina","Americas",1992,71.868,33958947
"Argentina","Americas",1997,73.275,36203463
"Argentina","Americas",2002,74.34,38331121
"Argentina","Americas",2007,75.32,40301927
"Australia","Oceania",1952,69.12,8691212
"Australia","Oceania",1957,70.33,9712569
"Australia","Oceania",1962,70.93,10794968
"Australia","Oceania",1967,71.1,11872264
"Australia","Oceania",1972,71.93,13177000
"Australia","Oceania",1977,73.49,14074100
"Australia","Oceania",1982,74.74,15184200
"Australia","Oceania",1987,76.32,16257249
"Australia","Oceania",1992,77.56,17481977
"Australia","Oceania",1997,78.83,18565243
"Australia","Oceania",2007,81.235,20434176
"Benin","Africa",1952,38.223,1738315
"Benin","Africa",1957,40.358,1925173
"Benin","Africa",1962,42.618,2151895
"Benin","Africa",1967,44.885,2427334
"Benin","Africa",1972,47.014,2761407
"Benin","Africa",1977,49.19,3168267
"Benin","Africa",1982,50.904,3641603
"Benin","Africa",1987,52.337,4243788
"Benin","Africa",1992,53.919,4981671
"Benin","Africa",1997,54.777,6066080
"Benin","Africa",2002,54.406,7026113
"Benin","Africa",2007,56.728,8078314
"Bolivia","Americas",1952,40.414,2883315
"Bolivia","Americas",1957,41.89,3211738
"Bolivia","Americas",1962,43.428,3593918
"Bolivia","Americas",1967,45.032,4040665
"Bolivia","Americas",1972,46.714,4565872
"Bolivia","Americas",1977,50.023,5079716
"Bolivia","Americas",1987,57.251,6156369
"Bolivia","Americas",1992,59.957,6893451
"Bolivia","Americas",1997,62.05,7693188
"Bolivia","Americas",2002,63.883,8445134
"Bolivia","Americas",2007,65.554,9119152
"Botswana","Africa",1952,47.622,442308
"Botswana","Africa",1957,49.618,474639
"Botswana","Africa",1962,51.52,512764
"Botswana","Africa",1967,53.298,553541
"Botswana","Africa",1972,56.024,619351
"Botswana","Africa",1977,59.319,781472
