"date_time" "user_location_region" "user_location_city" "user_location_latitude" "user_location_longitude" "orig_destination_distance" "user_id" "is_mobile" "is_package" "channel" "srch_ci" "srch_co" "srch_adults_cnt" "srch_children_cnt" "srch_rm_cnt" "srch_destination_id" "hotel_country" "is_booking" "hotel_id" "prop_is_branded" "prop_starrating" "distance_band" "hist_price_band" "popularity_band" "cnt"
"2015-07-13 13:22:00" "CA" "STOCKTON" "37.983835" "-121.30217" "1243.2194" 1332946867 0 1 262 "2016-03-21" "2016-03-25" 2 2 1 5581115 "MEXICO" 0 24630615 0 4 "C" "M" "VH" 1
"2015-10-21 16:19:00" "WA" "KIRKLAND" "47.70401" "-122.190513" "686.0798" 1826431285 0 0 541 "2015-10-23" "2015-10-28" 2 2 1 5527578 "UNITED STATES OF AMERICA" 0 182496 1 4 "C" "VH" "VH" 1
"2015-08-04 08:15:00" "BZ" "BELIZE" "NULL" "NULL" "NULL" -1744380080 0 1 541 "2015-08-12" "2015-08-13" 2 0 1 5525315 "UNITED STATES OF AMERICA" 0 758476 1 4 "C" "M" "VH" 3
"2015-06-02 20:23:00" "MAN" "MANDALUYONG" "NULL" "NULL" "NULL" -805781454 0 0 541 "2015-06-28" "2015-06-29" 2 1 1 5581053 "TAIWAN, REPUBLIC OF CHINA" 0 145417930 0 4 "VC" "M" "VH" 1
"2015-09-18 21:37:00" "CO" "DENVER" "39.7478" "-104.9406725" "950.2562" 64349796 0 0 541 "2015-10-10" "2015-10-12" 2 2 1 5527578 "UNITED STATES OF AMERICA" 0 254413465 0 2 "M" "L" "M" 1
"2015-12-02 01:07:00" "CA" "SAN DIEGO" "32.760625" "-117.168396" "258.365" 320770121 0 0 541 "2015-12-23" "2015-12-25" 2 0 1 5526679 "UNITED STATES OF AMERICA" 0 391591 1 4 "C" "M" "VH" 1
"2015-11-02 17:38:00" "AL" "AUBURN" "32.57429" "-85.49727" "104.9042" 464737917 0 0 541 "2015-11-23" "2015-11-24" 2 1 1 5525315 "UNITED STATES OF AMERICA" 0 373983 1 3 "M" "M" "VH" 3
"2015-11-30 14:46:00" "BY" "MUNICH" "48.137895" "11.56111" "312.7468" -1496541118 0 1 541 "2016-03-24" "2016-03-29" 2 0 1 5576775 "GERMANY" 0 175893 1 5 "M" "M" "VH" 3
"2015-04-14 09:23:00" "CA" "LA MESA" "32.76811" "-117.027848" "890.7377" -761259898 1 1 262 "2015-06-16" "2015-06-18" 2 1 1 187748740 "UNITED STATES OF AMERICA" 0 156171489 0 3 "VC" "L" "H" 1
"2015-09-17 20:15:00" "FL" "ORLANDO" "28.453002" "-81.456739" "7232.4388" -1229562847 0 0 541 "2015-12-29" "2016-01-03" 6 0 2 5519456 "SAUDI ARABIA" 0 556480 1 5 "M" "H" "VH" 1
"2015-06-23 17:30:00" "OH" "HILLIARD" "40.031675" "-83.128225" "1756.0921" 2076905670 0 0 541 "2015-08-23" "2015-08-25" 2 0 1 5526679 "UNITED STATES OF AMERICA" 0 1273603 1 4 "C" "M" "VH" 1
"2015-06-22 19:55:00" "NV" "LAS VEGAS" "36.121975" "-115.16696" "2133.2081" -702243579 0 0 541 "2015-07-14" "2015-07-16" 1 0 1 188127219 "UNITED STATES OF AMERICA" 0 196766299 0 2 "M" "VL" "M" 1
"2015-05-24 13:56:00" "NY" "FOREST HILLS" "NULL" "NULL" "NULL" 263529600 1 1 541 "2015-07-26" "2015-08-04" 2 3 1 18690054 "MEXICO" 0 24942568 1 4 "M" "M" "VH" 2
"2015-07-13 09:25:00" "CA" "ANAHEIM" "33.806974" "-117.915298" "1522.825" -481626630 0 0 541 "2015-08-07" "2015-08-09" 2 0 1 5526958 "MEXICO" 1 76541045 1 5 "C" "VH" "H" 1
"2015-03-20 11:03:00" "GE" "GENEVE" "46.19651" "6.13427" "433.4291" -1246272778 0 0 510 "2015-04-07" "2015-04-09" 2 2 1 5576992 "ITALY" 0 35249448 1 4 "F" "L" "VH" 1
"2015-08-24 18:57:00" "CA" "LONG BEACH" "33.77535" "-118.185706" "329.6698" 1419248145 0 0 262 "2015-10-16" "2015-10-19" 2 0 1 187741920 "UNITED STATES OF AMERICA" 0 16885110 0 3 "C" "H" "M" 2
"2015-09-12 03:43:00" "FL" "MIAMI" "25.77746" "-80.21789" "166.4182" 80942792 0 0 541 "2015-09-12" "2015-09-13" 1 0 1 187954456 "UNITED STATES OF AMERICA" 0 409075 1 4 "VC" "H" "VH" 1
"2015-02-07 00:14:00" "LA" "LAGOS" "NULL" "NULL" "NULL" -919683690 0 0 510 "2015-03-27" "2015-04-01" 2 2 1 8803 "GHANA" 0 198877802 0 3 "VF" "M" "H" 1
"2015-06-20 10:34:00" "TX" "HOUSTON" "29.769607" "-95.42647" "1299.6361" 2049108593 1 0 541 "2015-07-15" "2015-07-17" 2 2 1 5527547 "UNITED STATES OF AMERICA" 0 1139001 0 4 "VF" "H" "VH" 2
"2015-04-16 15:26:00" "BC" "BURNABY" "49.25591" "-123.00548" "1100.6231" 1650867470 0 0 293 "2015-05-03" "2015-05-07" 1 0 1 18700067 "UNITED STATES OF AMERICA" 0 447887 0 3 "M" "L" "H" 1
"2015-07-02 13:27:00" "RP" "KAISERSLAUTERN" "49.43596" "7.77294" "323.418" -208759861 0 1 541 "2015-07-05" "2015-07-07" 2 0 1 5576775 "GERMANY" 0 30047989 1 5 "M" "M" "H" 2
"2015-01-30 21:48:00" "TA" "OR YEHUDA" "NULL" "NULL" "NULL" -1865467948 0 0 510 "2015-03-02" "2015-03-04" 5 0 2 187661134 "URUGUAY" 0 135238553 0 3 "M" "M" "M" 1
"2015-06-09 08:04:00" "PA" "PHILADELPHIA" "39.951417" "-75.16784" "252.6698" -57917698 0 0 231 "2015-06-12" "2015-06-14" 2 0 1 18692069 "UNITED STATES OF AMERICA" 0 154720 0 3 "M" "L" "VH" 1
"2015-03-19 17:02:00" "CA" "MILL VALLEY" "37.885045" "-122.519325" "6246.1031" -1941320915 0 0 293 "2015-06-12" "2015-06-14" 2 0 1 196576300 "ITALY" 0 5717639 0 3 "M" "H" "VH" 1
"2015-08-09 21:46:00" "CO" "LITTLETON" "39.570102" "-105.136416" "68.513" 200940656 0 0 231 "2015-09-04" "2015-09-06" 2 2 1 5581890 "UNITED STATES OF AMERICA" 0 24674077 0 4 "C" "VH" "H" 1
"2015-07-05 16:37:00" "KU" "KUWAIT" "NULL" "NULL" "NULL" -2117063734 0 0 541 "2015-09-11" "2015-09-18" 2 0 1 101617 "EGYPT" 0 148179162 1 5 "M" "L" "M" 1
"2015-09-30 18:27:00" "NY" "OZONE PARK" "40.671824" "-73.844011" "720.5671" -563920394 0 0 541 "2015-10-16" "2015-10-18" 2 0 1 5525811 "UNITED STATES OF AMERICA" 0 152116 1 4 "VC" "H" "VH" 2
"2015-12-26 07:15:00" "LMA" "LIMA" "NULL" "NULL" "NULL" 234581032 0 0 231 "2016-01-15" "2016-01-16" 3 1 1 5526989 "UNITED STATES OF AMERICA" 0 480499 1 3 "VF" "L" "H" 1
"2015-08-05 23:59:00" "WI" "MILWAUKEE" "43.03867" "-87.91772" "893.7707" 376733630 0 0 541 "2016-02-18" "2016-02-22" 2 0 1 187951139 "UNITED STATES OF AMERICA" 0 27686905 0 3 "C" "M" "VH" 1
"2015-05-05 09:41:00" "TX" "KATY" "29.78457" "-95.759305" "820.6113" -485622370 0 1 231 "2015-06-14" "2015-06-18" 2 0 1 5579968 "MEXICO" 0 617209 0 4 "M" "L" "VH" 1
