Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country Code,latitude,longitude
154,Afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025,AFG,33.7680065,66.2385139
107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,ALB,41.000028,19.9999619
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,ARE,24.0002488,53.9994829
47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05,ARG,-34.9964963,-64.9672817
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,ARM,40.7696272,44.6736646
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,AUS,-24.7761086,134.755
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,AUT,47.2000338,13.199959
90,Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,AZE,40.3936294,47.7872508
145,Burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,BDI,-3.3634357,29.8870575
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,BEL,50.6402809,4.6667145
102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,BEN,9.5293472,2.2584408
115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,BFA,12.0753083,-1.6880314
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,BGD,24.4768783,90.2932426
97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,BGR,42.6073975,25.4856617
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,BHR,26.1551249,50.5344606
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,BIH,44.3053476,17.5961467
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,BLR,53.4250605,27.6971358
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,BOL,-17.0568696,-64.9912286
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,BRA,-10.3333333,-53.2
95,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,BTN,27.549511,90.5119273
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,BWA,-23.1681782,24.5928742
155,Central African Republic,3.083,0.026,0,0.105,0.225,0.235,0.035,CAF,7.0323598,19.9981227
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,CAN,61.0666922,-107.9917071
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,CHE,46.7985624,8.2319736
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,CHL,-31.7613365,-71.3187697
93,China,5.191,1.029,1.125,0.893,0.521,0.058,0.1,CHN,35.000074,104.999927
99,Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,CIV,7.9897371,-5.5679458
96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,CMR,4.6125522,13.1535811
127,Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,COD,-2.9814344,23.8222636
103,Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,COG,-0.7264327,15.6419155
43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,COL,2.8894434,-73.783892
142,Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,COM,-12.2045176,44.2832964
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,CRI,10.2735633,-84.0739102
49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041,CYP,34.9823018,33.1451285
64,Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,CYP,35.4594217,33.6783123
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,CZE,49.8167003,15.4749544
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,DEU,51.0834196,10.4234469
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,DNK,55.670249,10.3333283
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,DOM,19.0974031,-70.3028026
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,DZA,28.0000272,2.9999825
50,Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,ECU,-1.3397668,-79.3666965
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,EGY,26.2540493,29.2675469
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,ESP,39.3262345,-4.8380649
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,EST,58.7523778,25.3319078
134,Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,ETH,10.2116702,38.6521203
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,FIN,63.2467777,25.9209164
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,FRA,46.603354,1.8883335
