Date,Open,High,Low,Close,Adj Close,Volume
11-Apr-17,"20,644.32","20,660.03","20,512.56","20,651.30","20,651.30","255,120,000"
10-Apr-17,"20,668.22","20,750.33","20,614.86","20,658.02","20,658.02","230,480,000"
7-Apr-17,"20,647.81","20,726.07","20,606.95","20,656.10","20,656.10","219,730,000"
6-Apr-17,"20,653.77","20,746.46","20,612.17","20,662.95","20,662.95","251,720,000"
5-Apr-17,"20,745.06","20,887.50","20,639.55","20,648.15","20,648.15","284,980,000"
4-Apr-17,"20,634.94","20,701.29","20,605.30","20,689.24","20,689.24","237,390,000"
3-Apr-17,"20,665.17","20,692.34","20,517.82","20,650.21","20,650.21","285,670,000"
31-Mar-17,"20,700.34","20,722.59","20,660.68","20,663.22","20,663.22","303,770,000"
30-Mar-17,"20,662.79","20,753.78","20,643.60","20,728.49","20,728.49","270,900,000"
29-Mar-17,"20,675.75","20,684.73","20,625.03","20,659.32","20,659.32","238,320,000"
28-Mar-17,"20,542.14","20,735.61","20,520.10","20,701.50","20,701.50","299,670,000"
27-Mar-17,"20,488.35","20,578.46","20,412.80","20,550.98","20,550.98","269,380,000"
24-Mar-17,"20,674.45","20,718.33","20,529.67","20,596.72","20,596.72","292,980,000"
23-Mar-17,"20,645.07","20,757.89","20,618.62","20,656.58","20,656.58","280,050,000"
22-Mar-17,"20,640.42","20,686.21","20,578.95","20,661.30","20,661.30","325,090,000"
21-Mar-17,"20,956.33","20,970.04","20,653.26","20,668.01","20,668.01","369,320,000"
20-Mar-17,"20,916.27","20,955.45","20,885.70","20,905.86","20,905.86","253,610,000"
17-Mar-17,"20,965.37","20,980.51","20,911.07","20,914.62","20,914.62","535,280,000"
16-Mar-17,"20,969.27","21,000.11","20,893.50","20,934.55","20,934.55","264,360,000"
15-Mar-17,"20,874.78","20,977.47","20,859.60","20,950.10","20,950.10","306,590,000"
14-Mar-17,"20,848.60","20,874.00","20,786.31","20,837.37","20,837.37","246,820,000"
13-Mar-17,"20,899.28","20,926.06","20,845.71","20,881.48","20,881.48","289,260,000"
10-Mar-17,"20,919.01","20,940.29","20,827.66","20,902.98","20,902.98","315,430,000"
9-Mar-17,"20,864.32","20,900.57","20,777.16","20,858.19","20,858.19","275,960,000"
8-Mar-17,"20,940.44","20,951.44","20,835.58","20,855.73","20,855.73","296,780,000"
7-Mar-17,"20,934.89","20,970.54","20,901.26","20,924.76","20,924.76","274,630,000"
6-Mar-17,"20,955.71","20,986.43","20,912.11","20,954.34","20,954.34","266,620,000"
3-Mar-17,"21,008.75","21,039.96","20,953.86","21,005.71","21,005.71","254,420,000"
2-Mar-17,"21,128.91","21,129.20","20,996.61","21,002.97","21,002.97","319,910,000"
1-Mar-17,"20,957.29","21,169.11","20,957.29","21,115.55","21,115.55","392,820,000"
28-Feb-17,"20,833.88","20,841.24","20,781.21","20,812.24","20,812.24","339,210,000"
27-Feb-17,"20,808.71","20,851.33","20,774.76","20,837.44","20,837.44","256,540,000"
24-Feb-17,"20,751.91","20,821.76","20,733.95","20,821.76","20,821.76","292,540,000"
23-Feb-17,"20,817.21","20,840.70","20,746.41","20,810.32","20,810.32","302,110,000"
22-Feb-17,"20,715.41","20,781.59","20,692.39","20,775.60","20,775.60","310,530,000"
21-Feb-17,"20,663.43","20,757.64","20,663.37","20,743.00","20,743.00","336,880,000"
17-Feb-17,"20,564.13","20,624.05","20,532.61","20,624.05","20,624.05","340,620,000"
16-Feb-17,"20,627.31","20,639.87","20,556.83","20,619.77","20,619.77","354,120,000"
15-Feb-17,"20,504.27","20,620.45","20,496.03","20,611.86","20,611.86","384,380,000"
14-Feb-17,"20,374.22","20,504.41","20,374.02","20,504.41","20,504.41","356,580,000"
13-Feb-17,"20,338.54","20,441.48","20,322.95","20,412.16","20,412.16","314,620,000"
10-Feb-17,"20,211.23","20,298.21","20,204.76","20,269.37","20,269.37","312,230,000"
9-Feb-17,"20,061.73","20,206.36","20,061.73","20,172.40","20,172.40","325,310,000"
8-Feb-17,"20,049.29","20,068.28","20,015.33","20,054.34","20,054.34","280,410,000"
7-Feb-17,"20,107.62","20,155.35","20,068.68","20,090.29","20,090.29","279,670,000"
6-Feb-17,"20,025.61","20,094.95","20,002.81","20,052.42","20,052.42","281,720,000"
3-Feb-17,"19,964.21","20,081.48","19,964.21","20,071.46","20,071.46","344,220,000"
2-Feb-17,"19,858.34","19,922.75","19,831.09","19,884.91","19,884.91","347,220,000"
1-Feb-17,"19,923.81","19,967.73","19,845.99","19,890.94","19,890.94","426,670,000"
31-Jan-17,"19,913.16","19,918.17","19,784.77","19,864.09","19,864.09","373,750,000"
30-Jan-17,"20,028.62","20,028.62","19,870.39","19,971.13","19,971.13","317,280,000"
27-Jan-17,"20,103.36","20,115.97","20,072.64","20,093.78","20,093.78","343,130,000"
26-Jan-17,"20,076.25","20,125.58","20,067.53","20,100.91","20,100.91","356,730,000"
25-Jan-17,"19,994.48","20,082.00","19,994.48","20,068.51","20,068.51","372,240,000"
24-Jan-17,"19,794.68","19,949.24","19,786.71","19,912.71","19,912.71","374,460,000"
23-Jan-17,"19,794.79","19,833.98","19,732.36","19,799.85","19,799.85","326,690,000"
20-Jan-17,"19,795.06","19,843.94","19,759.14","19,827.25","19,827.25","435,260,000"
19-Jan-17,"19,813.55","19,824.14","19,677.94","19,732.40","19,732.40","301,750,000"
18-Jan-17,"19,822.73","19,828.20","19,739.00","19,804.72","19,804.72","279,760,000"
17-Jan-17,"19,848.82","19,882.99","19,775.35","19,826.77","19,826.77","341,900,000"
13-Jan-17,"19,912.54","19,952.03","19,849.38","19,885.73","19,885.73","263,780,000"
12-Jan-17,"19,926.21","19,929.29","19,770.47","19,891.00","19,891.00","306,290,000"
11-Jan-17,"19,887.38","19,973.42","19,833.16","19,954.28","19,954.28","336,150,000"
10-Jan-17,"19,876.35","19,957.12","19,836.03","19,855.53","19,855.53","299,410,000"
9-Jan-17,"19,931.41","19,943.78","19,887.38","19,887.38","19,887.38","287,510,000"
6-Jan-17,"19,906.96","19,999.63","19,834.08","19,963.80","19,963.80","277,700,000"
5-Jan-17,"19,924.56","19,948.60","19,811.12","19,899.29","19,899.29","269,920,000"
4-Jan-17,"19,890.94","19,956.14","19,878.83","19,942.16","19,942.16","280,010,000"
3-Jan-17,"19,872.86","19,938.53","19,775.93","19,881.76","19,881.76","339,180,000"
30-Dec-16,"19,833.17","19,852.55","19,718.67","19,762.60","19,762.60","271,910,000"
29-Dec-16,"19,835.46","19,878.44","19,788.94","19,819.78","19,819.78","172,040,000"
28-Dec-16,"19,964.31","19,981.11","19,827.31","19,833.68","19,833.68","188,350,000"
27-Dec-16,"19,943.46","19,980.24","19,939.80","19,945.04","19,945.04","158,540,000"
23-Dec-16,"19,908.61","19,934.15","19,899.06","19,933.81","19,933.81","158,260,000"
22-Dec-16,"19,922.68","19,933.83","19,882.19","19,918.88","19,918.88","258,290,000"
21-Dec-16,"19,968.97","19,986.56","19,941.96","19,941.96","19,941.96","256,640,000"
20-Dec-16,"19,920.59","19,987.63","19,920.42","19,974.62","19,974.62","284,080,000"
19-Dec-16,"19,836.66","19,917.78","19,832.95","19,883.06","19,883.06","302,310,000"
16-Dec-16,"19,909.01","19,923.17","19,821.00","19,843.41","19,843.41","573,470,000"
15-Dec-16,"19,811.50","19,951.29","19,811.50","19,852.24","19,852.24","357,350,000"
14-Dec-16,"19,876.13","19,966.43","19,748.67","19,792.53","19,792.53","408,430,000"
13-Dec-16,"19,852.21","19,953.75","19,846.45","19,911.21","19,911.21","388,420,000"
12-Dec-16,"19,770.20","19,824.59","19,747.74","19,796.43","19,796.43","333,660,000"
9-Dec-16,"19,631.35","19,757.74","19,623.19","19,756.85","19,756.85","334,470,000"
8-Dec-16,"19,559.94","19,664.97","19,527.83","19,614.81","19,614.81","324,570,000"
7-Dec-16,"19,241.99","19,558.42","19,229.83","19,549.62","19,549.62","385,200,000"
6-Dec-16,"19,219.91","19,255.89","19,184.74","19,251.78","19,251.78","284,960,000"
5-Dec-16,"19,244.35","19,274.85","19,186.73","19,216.24","19,216.24","317,800,000"
2-Dec-16,"19,161.25","19,196.14","19,141.18","19,170.42","19,170.42","84,920,000"
1-Dec-16,"19,149.20","19,214.30","19,138.79","19,191.93","19,191.93","108,800,000"
30-Nov-16,"19,135.64","19,225.29","19,123.38","19,123.58","19,123.58","164,570,000"
29-Nov-16,"19,064.07","19,144.40","19,062.22","19,121.60","19,121.60","81,510,000"
28-Nov-16,"19,122.14","19,138.72","19,072.25","19,097.90","19,097.90","88,460,000"
25-Nov-16,"19,093.72","19,152.14","19,093.72","19,152.14","19,152.14","45,890,000"
23-Nov-16,"19,015.52","19,083.76","19,000.38","19,083.18","19,083.18","77,880,000"
22-Nov-16,"18,970.39","19,043.90","18,962.82","19,023.87","19,023.87","85,310,000"
21-Nov-16,"18,898.68","18,960.76","18,883.10","18,956.69","18,956.69","80,520,000"
18-Nov-16,"18,905.33","18,915.74","18,853.83","18,867.93","18,867.93","109,880,000"
17-Nov-16,"18,866.22","18,904.03","18,845.27","18,903.82","18,903.82","89,940,000"
16-Nov-16,"18,909.85","18,909.85","18,825.89","18,868.14","18,868.14","87,320,000"
15-Nov-16,"18,858.21","18,925.26","18,806.06","18,923.06","18,923.06","100,660,000"
14-Nov-16,"18,876.77","18,934.05","18,815.75","18,868.69","18,868.69","112,250,000"
11-Nov-16,"18,781.65","18,855.78","18,736.96","18,847.66","18,847.66","107,300,000"
10-Nov-16,"18,603.14","18,873.66","18,603.14","18,807.88","18,807.88","164,390,000"
9-Nov-16,"18,317.26","18,650.06","18,252.55","18,589.69","18,589.69","173,110,000"
8-Nov-16,"18,251.38","18,400.50","18,200.75","18,332.74","18,332.74","79,820,000"
