Date,Open,High,Low,Close,Adj Close,Volume
10-Apr-17,"5,883.43","5,907.85","5,865.56","5,880.93","5,880.93","1,633,190,000"
7-Apr-17,"5,873.94","5,892.07","5,855.51","5,877.81","5,877.81","1,703,730,000"
6-Apr-17,"5,870.52","5,889.58","5,856.22","5,878.95","5,878.95","1,849,790,000"
5-Apr-17,"5,911.92","5,936.39","5,856.26","5,864.48","5,864.48","2,208,600,000"
4-Apr-17,"5,878.76","5,901.39","5,878.76","5,898.61","5,898.61","1,795,260,000"
3-Apr-17,"5,917.32","5,928.93","5,867.73","5,894.68","5,894.68","1,852,990,000"
31-Mar-17,"5,905.63","5,927.81","5,901.77","5,911.74","5,911.74","1,905,150,000"
30-Mar-17,"5,896.15","5,916.77","5,894.00","5,914.34","5,914.34","1,732,100,000"
29-Mar-17,"5,875.35","5,900.87","5,870.93","5,897.55","5,897.55","1,722,190,000"
28-Mar-17,"5,836.50","5,888.70","5,828.86","5,875.14","5,875.14","1,823,600,000"
27-Mar-17,"5,776.33","5,849.20","5,769.39","5,840.37","5,840.37","1,673,060,000"
24-Mar-17,"5,839.33","5,858.95","5,807.83","5,828.74","5,828.74","1,855,040,000"
23-Mar-17,"5,812.31","5,842.82","5,806.98","5,817.69","5,817.69","1,746,990,000"
22-Mar-17,"5,790.59","5,825.67","5,781.80","5,821.64","5,821.64","1,860,290,000"
21-Mar-17,"5,923.42","5,928.06","5,790.73","5,793.83","5,793.83","2,199,920,000"
20-Mar-17,"5,898.81","5,915.12","5,888.12","5,901.53","5,901.53","1,736,790,000"
17-Mar-17,"5,898.58","5,912.61","5,890.42","5,901.00","5,901.00","3,189,970,000"
16-Mar-17,"5,907.86","5,911.48","5,887.24","5,900.76","5,900.76","1,770,640,000"
15-Mar-17,"5,869.98","5,911.20","5,858.16","5,900.05","5,900.05","1,955,400,000"
14-Mar-17,"5,860.07","5,860.50","5,831.88","5,856.82","5,856.82","1,664,870,000"
13-Mar-17,"5,863.48","5,877.43","5,860.83","5,875.78","5,875.78","1,812,460,000"
10-Mar-17,"5,867.16","5,872.60","5,835.44","5,861.73","5,861.73","1,999,440,000"
9-Mar-17,"5,834.67","5,852.54","5,812.08","5,838.81","5,838.81","1,886,780,000"
8-Mar-17,"5,838.44","5,860.63","5,832.63","5,837.55","5,837.55","1,813,080,000"
7-Mar-17,"5,836.12","5,859.77","5,826.32","5,833.93","5,833.93","1,825,510,000"
6-Mar-17,"5,846.42","5,857.74","5,827.46","5,849.18","5,849.18","1,774,040,000"
3-Mar-17,"5,854.27","5,870.75","5,841.47","5,870.75","5,870.75","1,853,600,000"
2-Mar-17,"5,897.01","5,897.01","5,856.30","5,861.22","5,861.22","2,043,610,000"
1-Mar-17,"5,874.86","5,911.79","5,865.79","5,904.03","5,904.03","2,220,350,000"
28-Feb-17,"5,852.79","5,855.07","5,817.22","5,825.44","5,825.44","2,303,390,000"
27-Feb-17,"5,835.04","5,861.90","5,827.00","5,861.90","5,861.90","1,882,610,000"
24-Feb-17,"5,802.33","5,845.31","5,800.55","5,845.31","5,845.31","1,684,650,000"
23-Feb-17,"5,866.82","5,866.96","5,809.55","5,835.51","5,835.51","1,881,490,000"
22-Feb-17,"5,857.56","5,864.42","5,848.28","5,860.63","5,860.63","1,874,710,000"
21-Feb-17,"5,850.20","5,867.89","5,847.50","5,865.95","5,865.95","1,940,110,000"
17-Feb-17,"5,807.31","5,838.58","5,800.80","5,838.58","5,838.58","1,879,030,000"
16-Feb-17,"5,823.01","5,835.15","5,796.71","5,814.90","5,814.90","1,945,600,000"
15-Feb-17,"5,777.90","5,821.95","5,776.70","5,819.44","5,819.44","2,094,140,000"
14-Feb-17,"5,756.51","5,783.09","5,748.74","5,782.57","5,782.57","1,952,370,000"
13-Feb-17,"5,753.19","5,770.99","5,751.92","5,763.96","5,763.96","1,843,480,000"
10-Feb-17,"5,726.17","5,743.43","5,717.42","5,734.13","5,734.13","1,867,270,000"
9-Feb-17,"5,688.02","5,722.71","5,685.15","5,715.18","5,715.18","1,948,120,000"
8-Feb-17,"5,662.95","5,686.96","5,649.39","5,682.45","5,682.45","1,947,100,000"
7-Feb-17,"5,674.86","5,689.60","5,664.82","5,674.22","5,674.22","1,922,030,000"
6-Feb-17,"5,656.95","5,668.20","5,650.26","5,663.55","5,663.55","1,736,140,000"
3-Feb-17,"5,650.73","5,666.84","5,647.58","5,666.77","5,666.77","1,792,330,000"
2-Feb-17,"5,627.15","5,656.01","5,616.40","5,636.20","5,636.20","2,077,010,000"
1-Feb-17,"5,654.51","5,662.11","5,621.03","5,642.65","5,642.65","2,239,570,000"
31-Jan-17,"5,592.87","5,615.15","5,576.09","5,614.79","5,614.79","2,047,460,000"
