Date,Open,High,Low,Close,Adj Close,Volume
10-Apr-17,"2,357.16","2,366.37","2,351.50","2,357.16","2,357.16","2,792,570,000"
7-Apr-17,"2,356.59","2,363.76","2,350.74","2,355.54","2,355.54","3,054,700,000"
6-Apr-17,"2,353.79","2,364.16","2,348.90","2,357.49","2,357.49","3,203,250,000"
5-Apr-17,"2,366.59","2,378.36","2,350.52","2,352.95","2,352.95","3,780,650,000"
4-Apr-17,"2,354.76","2,360.53","2,350.72","2,360.16","2,360.16","3,208,340,000"
3-Apr-17,"2,362.34","2,365.87","2,344.73","2,358.84","2,358.84","3,418,730,000"
31-Mar-17,"2,364.82","2,370.35","2,362.60","2,362.72","2,362.72","3,356,740,000"
30-Mar-17,"2,361.31","2,370.42","2,358.58","2,368.06","2,368.06","3,159,680,000"
29-Mar-17,"2,356.54","2,363.36","2,352.94","2,361.13","2,361.13","3,107,670,000"
28-Mar-17,"2,339.79","2,363.78","2,337.63","2,358.57","2,358.57","3,369,120,000"
27-Mar-17,"2,329.11","2,344.90","2,322.25","2,341.59","2,341.59","3,242,300,000"
24-Mar-17,"2,350.42","2,356.22","2,335.74","2,343.98","2,343.98","2,978,530,000"
23-Mar-17,"2,345.97","2,358.92","2,342.13","2,345.96","2,345.96","3,262,400,000"
22-Mar-17,"2,343.00","2,351.81","2,336.45","2,348.45","2,348.45","3,575,160,000"
21-Mar-17,"2,379.32","2,381.93","2,341.90","2,344.02","2,344.02","4,278,890,000"
20-Mar-17,"2,378.24","2,379.55","2,369.66","2,373.47","2,373.47","3,061,560,000"
17-Mar-17,"2,383.71","2,385.71","2,377.64","2,378.25","2,378.25","5,179,820,000"
16-Mar-17,"2,387.71","2,388.10","2,377.18","2,381.38","2,381.38","3,368,880,000"
15-Mar-17,"2,370.34","2,390.01","2,368.94","2,385.26","2,385.26","3,909,490,000"
14-Mar-17,"2,368.55","2,368.55","2,358.18","2,365.45","2,365.45","3,173,760,000"
13-Mar-17,"2,371.56","2,374.42","2,368.52","2,373.47","2,373.47","3,166,650,000"
10-Mar-17,"2,372.52","2,376.86","2,363.04","2,372.60","2,372.60","3,434,400,000"
9-Mar-17,"2,363.49","2,369.08","2,354.54","2,364.87","2,364.87","3,718,450,000"
8-Mar-17,"2,369.81","2,373.09","2,361.01","2,362.98","2,362.98","3,814,080,000"
7-Mar-17,"2,370.74","2,375.12","2,365.51","2,368.39","2,368.39","3,526,300,000"
6-Mar-17,"2,375.23","2,378.80","2,367.98","2,375.31","2,375.31","3,251,800,000"
3-Mar-17,"2,380.92","2,383.89","2,375.39","2,383.12","2,383.12","3,556,670,000"
2-Mar-17,"2,394.75","2,394.75","2,380.17","2,381.92","2,381.92","3,824,030,000"
1-Mar-17,"2,380.13","2,400.98","2,380.13","2,395.96","2,395.96","4,347,630,000"
28-Feb-17,"2,366.08","2,367.79","2,358.96","2,363.64","2,363.64","4,212,460,000"
27-Feb-17,"2,365.23","2,371.54","2,361.87","2,369.75","2,369.75","3,584,680,000"
24-Feb-17,"2,355.73","2,367.34","2,352.87","2,367.34","2,367.34","3,832,410,000"
23-Feb-17,"2,367.50","2,368.26","2,355.09","2,363.81","2,363.81","4,021,770,000"
22-Feb-17,"2,361.11","2,365.13","2,358.34","2,362.82","2,362.82","3,473,170,000"
21-Feb-17,"2,354.91","2,366.71","2,354.91","2,365.38","2,365.38","3,587,520,000"
17-Feb-17,"2,343.01","2,351.16","2,339.58","2,351.16","2,351.16","3,516,830,000"
16-Feb-17,"2,349.64","2,351.31","2,338.87","2,347.22","2,347.22","3,675,900,000"
15-Feb-17,"2,335.58","2,351.30","2,334.81","2,349.25","2,349.25","3,785,870,000"
14-Feb-17,"2,326.12","2,337.58","2,322.17","2,337.58","2,337.58","3,528,040,000"
13-Feb-17,"2,321.72","2,331.58","2,321.42","2,328.25","2,328.25","3,352,370,000"
10-Feb-17,"2,312.27","2,319.23","2,311.10","2,316.10","2,316.10","3,496,600,000"
9-Feb-17,"2,296.70","2,311.08","2,296.61","2,307.87","2,307.87","3,681,600,000"
8-Feb-17,"2,289.55","2,295.91","2,285.38","2,294.67","2,294.67","3,611,950,000"
7-Feb-17,"2,295.87","2,299.40","2,290.16","2,293.08","2,293.08","3,452,460,000"
6-Feb-17,"2,294.28","2,296.18","2,288.57","2,292.56","2,292.56","3,112,390,000"
3-Feb-17,"2,288.54","2,298.31","2,287.88","2,297.42","2,297.42","3,605,970,000"
2-Feb-17,"2,276.69","2,283.97","2,271.65","2,280.85","2,280.85","3,809,760,000"
1-Feb-17,"2,285.59","2,289.14","2,272.44","2,279.55","2,279.55","3,919,190,000"
31-Jan-17,"2,274.02","2,279.09","2,267.21","2,278.87","2,278.87","4,089,730,000"
30-Jan-17,"2,286.01","2,286.01","2,268.04","2,280.90","2,280.90","3,595,040,000"
27-Jan-17,"2,299.02","2,299.02","2,291.62","2,294.69","2,294.69","3,137,420,000"
26-Jan-17,"2,298.63","2,300.99","2,294.08","2,296.68","2,296.68","3,611,510,000"
25-Jan-17,"2,288.88","2,299.55","2,288.88","2,298.37","2,298.37","3,849,340,000"
24-Jan-17,"2,267.88","2,284.63","2,266.68","2,280.07","2,280.07","3,816,950,000"
23-Jan-17,"2,267.78","2,271.78","2,257.02","2,265.20","2,265.20","3,155,240,000"
20-Jan-17,"2,269.96","2,276.96","2,265.01","2,271.31","2,271.31","3,536,850,000"
19-Jan-17,"2,271.90","2,274.33","2,258.41","2,263.69","2,263.69","3,168,390,000"
18-Jan-17,"2,269.14","2,272.01","2,263.35","2,271.89","2,271.89","3,317,670,000"
17-Jan-17,"2,269.14","2,272.08","2,262.81","2,267.89","2,267.89","3,586,950,000"
13-Jan-17,"2,272.74","2,278.68","2,271.51","2,274.64","2,274.64","3,090,680,000"
12-Jan-17,"2,271.14","2,271.78","2,254.25","2,270.44","2,270.44","3,466,220,000"
11-Jan-17,"2,268.60","2,275.32","2,260.83","2,275.32","2,275.32","3,625,080,000"
10-Jan-17,"2,269.72","2,279.27","2,265.27","2,268.90","2,268.90","3,640,560,000"
9-Jan-17,"2,273.59","2,275.49","2,268.90","2,268.90","2,268.90","3,219,730,000"
6-Jan-17,"2,271.14","2,282.10","2,264.06","2,276.98","2,276.98","3,342,080,000"
5-Jan-17,"2,268.18","2,271.50","2,260.45","2,269.00","2,269.00","3,785,080,000"
4-Jan-17,"2,261.60","2,272.82","2,261.60","2,270.75","2,270.75","3,768,890,000"
3-Jan-17,"2,251.57","2,263.88","2,245.13","2,257.83","2,257.83","3,773,010,000"
30-Dec-16,"2,251.61","2,253.58","2,233.62","2,238.83","2,238.83","2,671,550,000"
29-Dec-16,"2,249.50","2,254.51","2,244.56","2,249.26","2,249.26","2,338,700,000"
28-Dec-16,"2,270.23","2,271.31","2,249.11","2,249.92","2,249.92","2,402,750,000"
27-Dec-16,"2,266.23","2,273.82","2,266.15","2,268.88","2,268.88","1,989,730,000"
23-Dec-16,"2,260.25","2,263.79","2,258.84","2,263.79","2,263.79","2,021,230,000"
22-Dec-16,"2,262.93","2,263.18","2,256.08","2,260.96","2,260.96","2,880,670,000"
21-Dec-16,"2,270.54","2,271.23","2,265.15","2,265.18","2,265.18","2,854,880,000"
20-Dec-16,"2,266.50","2,272.56","2,266.14","2,270.76","2,270.76","3,306,250,000"
19-Dec-16,"2,259.24","2,267.47","2,258.21","2,262.53","2,262.53","3,252,840,000"
16-Dec-16,"2,266.81","2,268.05","2,254.24","2,258.07","2,258.07","5,928,980,000"
15-Dec-16,"2,253.77","2,272.12","2,253.77","2,262.03","2,262.03","4,173,360,000"
14-Dec-16,"2,268.35","2,276.20","2,248.44","2,253.28","2,253.28","4,409,670,000"
13-Dec-16,"2,263.32","2,277.53","2,263.32","2,271.72","2,271.72","3,875,630,000"
12-Dec-16,"2,258.83","2,264.03","2,252.37","2,256.96","2,256.96","4,038,850,000"
9-Dec-16,"2,249.73","2,259.80","2,249.23","2,259.53","2,259.53","3,886,460,000"
8-Dec-16,"2,241.13","2,251.69","2,237.57","2,246.19","2,246.19","4,203,270,000"
7-Dec-16,"2,210.72","2,241.63","2,208.93","2,241.35","2,241.35","4,504,070,000"
6-Dec-16,"2,207.26","2,212.78","2,202.21","2,212.23","2,212.23","3,857,290,000"
5-Dec-16,"2,200.65","2,209.42","2,199.97","2,204.71","2,204.71","3,898,530,000"
2-Dec-16,"2,191.12","2,197.95","2,188.37","2,191.95","2,191.95","3,782,370,000"
1-Dec-16,"2,200.17","2,202.60","2,187.44","2,191.08","2,191.08","5,067,470,000"
30-Nov-16,"2,204.97","2,214.10","2,198.81","2,198.81","2,198.81","5,538,400,000"
29-Nov-16,"2,200.76","2,210.46","2,198.15","2,204.66","2,204.66","3,709,190,000"
28-Nov-16,"2,210.21","2,211.14","2,200.36","2,201.72","2,201.72","3,515,100,000"
25-Nov-16,"2,206.27","2,213.35","2,206.27","2,213.35","2,213.35","1,584,590,000"
23-Nov-16,"2,198.55","2,204.72","2,194.51","2,204.72","2,204.72","3,419,850,000"
22-Nov-16,"2,201.56","2,204.80","2,194.51","2,202.94","2,202.94","3,960,520,000"
21-Nov-16,"2,186.43","2,198.70","2,186.43","2,198.18","2,198.18","3,611,500,000"
18-Nov-16,"2,186.85","2,189.89","2,180.38","2,181.90","2,181.90","3,580,900,000"
17-Nov-16,"2,178.61","2,188.06","2,176.65","2,187.12","2,187.12","3,811,730,000"
16-Nov-16,"2,177.53","2,179.22","2,172.20","2,176.94","2,176.94","3,847,900,000"
15-Nov-16,"2,168.29","2,180.84","2,166.38","2,180.39","2,180.39","4,548,110,000"
14-Nov-16,"2,165.64","2,171.36","2,156.08","2,164.20","2,164.20","5,373,670,000"
11-Nov-16,"2,162.71","2,165.92","2,152.49","2,164.45","2,164.45","4,993,990,000"
10-Nov-16,"2,167.49","2,182.30","2,151.17","2,167.48","2,167.48","6,458,450,000"
9-Nov-16,"2,131.56","2,170.10","2,125.35","2,163.26","2,163.26","6,267,590,000"
8-Nov-16,"2,129.92","2,146.87","2,123.56","2,139.56","2,139.56","3,921,850,000"
7-Nov-16,"2,100.59","2,132.00","2,100.59","2,131.52","2,131.52","3,739,720,000"
4-Nov-16,"2,083.79","2,099.07","2,083.79","2,085.18","2,085.18","3,841,910,000"
3-Nov-16,"2,098.80","2,102.56","2,085.23","2,088.66","2,088.66","3,892,100,000"
2-Nov-16,"2,109.43","2,111.76","2,094.00","2,097.94","2,097.94","4,289,120,000"
1-Nov-16,"2,128.68","2,131.45","2,097.85","2,111.72","2,111.72","4,539,190,000"
31-Oct-16,"2,129.78","2,133.25","2,125.53","2,126.15","2,126.15","3,926,560,000"
28-Oct-16,"2,132.23","2,140.72","2,119.36","2,126.41","2,126.41","4,028,270,000"
